,Structure,HADDOCK_Score,Evdw,Eelec,Edesolv,Total_Energy,Run_Name,Run_ID
0,complex_26w.pdb,-47.0282,10.0921,-334.116,3.1412,-320.88269999999994,Original Boltz2,672620-original_boltz2
1,complex_25w.pdb,-48.0766,-16.9033,-132.886,5.89664,-143.89266,Original Boltz2,672620-original_boltz2
2,complex_3w.pdb,-56.722,-14.4976,-152.641,4.46872,-162.66988,Original Boltz2,672620-original_boltz2
3,complex_14w.pdb,-76.3209,-15.0336,-437.808,4.56682,-448.27477999999996,Original Boltz2,672620-original_boltz2
4,complex_6w.pdb,-65.3536,-8.42641,-441.109,3.49599,-446.03941999999995,Original Boltz2,672620-original_boltz2
5,complex_1w.pdb,-48.5817,-7.86018,-338.893,3.88549,-342.86769,Original Boltz2,672620-original_boltz2
6,complex_11w.pdb,-71.9738,-19.3808,-411.439,4.24004,-426.57976,Original Boltz2,672620-original_boltz2
7,complex_7w.pdb,-65.261,-14.4947,-404.897,3.93131,-415.46039,Original Boltz2,672620-original_boltz2
8,complex_4w.pdb,-57.6949,1.57585,-452.525,2.41611,-448.53303999999997,Original Boltz2,672620-original_boltz2
9,complex_28w.pdb,-47.0114,-16.0218,-138.671,5.42226,-149.27053999999998,Original Boltz2,672620-original_boltz2
10,complex_24w.pdb,-52.1272,-14.09,-342.004,6.23652,-349.85748,Original Boltz2,672620-original_boltz2
11,complex_39w.pdb,-58.0296,-9.71463,-295.174,4.35495,-300.53368,Original Boltz2,672620-original_boltz2
12,complex_55w.pdb,-58.8119,-13.088,-151.176,7.09157,-157.17243,Original Boltz2,672620-original_boltz2
13,complex_10w.pdb,-40.813,-15.9197,-129.153,3.32052,-141.75218,Original Boltz2,672620-original_boltz2
14,complex_21w.pdb,-57.9046,-15.8112,-377.51,5.41041,-387.91078999999996,Original Boltz2,672620-original_boltz2
15,complex_33w.pdb,-54.6269,-10.4665,-266.662,5.31259,-271.81591,Original Boltz2,672620-original_boltz2
16,complex_22w.pdb,-48.5557,-6.14254,-390.937,4.0733,-393.00624,Original Boltz2,672620-original_boltz2
17,complex_19w.pdb,-62.0426,-12.8466,-366.494,4.62372,-374.71688000000006,Original Boltz2,672620-original_boltz2
18,complex_76w.pdb,-48.4902,-11.8847,-163.364,5.0865,-170.1622,Original Boltz2,672620-original_boltz2
19,complex_86w.pdb,-25.6374,-11.8117,-63.3685,1.41846,-73.76174,Original Boltz2,672620-original_boltz2
20,complex_142w.pdb,-56.5814,-12.887,-413.659,6.53649,-420.00951,Original Boltz2,672620-original_boltz2
