#Ligand RMSD
complex_79w.pdb 0.000
complex_1w.pdb 3.231
complex_128w.pdb 3.036
complex_16w.pdb 3.141
complex_27w.pdb 2.569
complex_98w.pdb 13.970
complex_9w.pdb 21.348
complex_10w.pdb 19.586
complex_57w.pdb 4.466
complex_73w.pdb 4.235
complex_108w.pdb 4.720
complex_139w.pdb 14.839
complex_185w.pdb 11.739
complex_175w.pdb 14.328
complex_32w.pdb 2.026
complex_89w.pdb 2.555
complex_4w.pdb 3.440
complex_161w.pdb 15.872
complex_46w.pdb 2.556
complex_47w.pdb 4.939
complex_87w.pdb 12.459
complex_105w.pdb 4.979
complex_149w.pdb 16.308
complex_30w.pdb 3.899
complex_2w.pdb 3.162
complex_6w.pdb 4.126
complex_29w.pdb 3.195
complex_19w.pdb 4.665
complex_45w.pdb 2.935
complex_102w.pdb 3.241
complex_20w.pdb 19.115
complex_54w.pdb 19.927
complex_112w.pdb 8.274
complex_83w.pdb 2.680
complex_38w.pdb 4.028
complex_40w.pdb 4.217
complex_165w.pdb 23.211
complex_3w.pdb 4.364
complex_97w.pdb 4.067
complex_130w.pdb 2.552
complex_71w.pdb 12.424
complex_118w.pdb 26.098
complex_22w.pdb 6.317
complex_11w.pdb 14.098
complex_26w.pdb 4.370
complex_23w.pdb 5.983
complex_146w.pdb 7.075
complex_123w.pdb 4.056
complex_154w.pdb 6.196
complex_186w.pdb 4.547
complex_5w.pdb 4.294
complex_59w.pdb 13.546
complex_84w.pdb 13.945
complex_14w.pdb 24.772
complex_24w.pdb 24.125
complex_191w.pdb 4.419
complex_18w.pdb 4.849
complex_7w.pdb 24.943
complex_36w.pdb 1.753
complex_17w.pdb 4.057
complex_136w.pdb 12.708
complex_145w.pdb 15.434
complex_64w.pdb 4.444
complex_195w.pdb 4.120
complex_60w.pdb 2.906
complex_37w.pdb 5.293
complex_177w.pdb 15.765
complex_120w.pdb 12.206
complex_13w.pdb 3.400
complex_122w.pdb 2.920
complex_67w.pdb 13.704
complex_153w.pdb 16.963
complex_31w.pdb 18.704
complex_81w.pdb 12.905
complex_164w.pdb 12.239
complex_181w.pdb 15.032
complex_178w.pdb 3.255
complex_72w.pdb 2.709
complex_68w.pdb 3.056
complex_129w.pdb 2.765
complex_127w.pdb 2.830
complex_121w.pdb 14.881
complex_144w.pdb 4.516
complex_124w.pdb 12.485
complex_15w.pdb 22.801
complex_50w.pdb 4.132
complex_61w.pdb 10.060
complex_159w.pdb 2.965
complex_151w.pdb 4.771
complex_48w.pdb 2.907
complex_78w.pdb 14.852
complex_148w.pdb 16.328
complex_131w.pdb 11.501
complex_113w.pdb 3.995
complex_66w.pdb 17.396
complex_199w.pdb 5.069
complex_41w.pdb 19.301
complex_33w.pdb 4.123
complex_103w.pdb 16.438
complex_170w.pdb 4.200
complex_76w.pdb 11.982
complex_62w.pdb 12.801
complex_52w.pdb 20.836
complex_93w.pdb 7.110
complex_106w.pdb 16.290
complex_94w.pdb 13.801
complex_138w.pdb 3.045
complex_70w.pdb 13.197
complex_168w.pdb 4.078
complex_100w.pdb 14.874
complex_125w.pdb 13.217
complex_44w.pdb 3.498
complex_176w.pdb 15.870
complex_119w.pdb 13.086
complex_198w.pdb 12.708
complex_171w.pdb 12.718
complex_49w.pdb 11.712
complex_133w.pdb 26.403
complex_56w.pdb 19.668
complex_162w.pdb 14.852
complex_34w.pdb 21.967
complex_53w.pdb 4.023
complex_132w.pdb 4.236
complex_192w.pdb 14.233
complex_115w.pdb 20.839
complex_85w.pdb 21.061
complex_156w.pdb 12.280
complex_107w.pdb 14.805
complex_114w.pdb 13.257
complex_96w.pdb 12.693
complex_42w.pdb 4.176
complex_43w.pdb 4.652
complex_190w.pdb 13.405
complex_143w.pdb 12.372
complex_74w.pdb 12.647
complex_189w.pdb 13.306
complex_63w.pdb 19.929
complex_82w.pdb 11.882
complex_135w.pdb 14.167
complex_77w.pdb 13.835
complex_58w.pdb 19.385
complex_116w.pdb 14.497
complex_101w.pdb 4.486
complex_157w.pdb 12.628
complex_111w.pdb 12.799
complex_92w.pdb 13.799
complex_21w.pdb 18.598
complex_69w.pdb 2.917
complex_12w.pdb 3.990
complex_80w.pdb 17.112
complex_65w.pdb 13.225
complex_155w.pdb 13.140
complex_183w.pdb 4.002
complex_174w.pdb 14.099
complex_25w.pdb 17.182
complex_35w.pdb 14.517
complex_180w.pdb 14.653
complex_8w.pdb 21.100
complex_197w.pdb 2.995
complex_158w.pdb 12.501
complex_88w.pdb 8.338
complex_126w.pdb 14.197
complex_167w.pdb 2.927
complex_172w.pdb 12.690
complex_95w.pdb 19.348
complex_109w.pdb 12.468
complex_28w.pdb 11.645
complex_147w.pdb 14.952
complex_150w.pdb 14.813
complex_173w.pdb 14.240
complex_75w.pdb 11.917
complex_99w.pdb 15.025
