#Interface RMSD
complex_13w.pdb 13.375
complex_11w.pdb 13.492
complex_1w.pdb 13.543
complex_34w.pdb 13.571
complex_9w.pdb 13.579
complex_80w.pdb 13.598
complex_60w.pdb 13.615
complex_43w.pdb 13.648
complex_62w.pdb 13.659
complex_75w.pdb 13.675
complex_187w.pdb 13.701
complex_4w.pdb 13.752
complex_86w.pdb 13.774
complex_194w.pdb 13.775
complex_54w.pdb 13.782
complex_6w.pdb 13.782
complex_59w.pdb 13.804
complex_132w.pdb 13.827
complex_33w.pdb 13.846
complex_5w.pdb 13.871
complex_170w.pdb 13.881
complex_168w.pdb 13.887
complex_143w.pdb 13.927
complex_17w.pdb 13.973
complex_107w.pdb 14.016
complex_130w.pdb 14.067
complex_89w.pdb 14.121
complex_108w.pdb 14.123
complex_45w.pdb 14.123
complex_196w.pdb 14.127
complex_37w.pdb 14.138
complex_100w.pdb 14.147
complex_28w.pdb 14.167
complex_35w.pdb 14.170
complex_200w.pdb 14.181
complex_73w.pdb 14.181
complex_21w.pdb 14.183
complex_148w.pdb 14.200
complex_157w.pdb 14.216
complex_83w.pdb 14.225
complex_74w.pdb 14.227
complex_97w.pdb 14.250
complex_25w.pdb 14.254
complex_47w.pdb 14.256
complex_92w.pdb 14.258
complex_113w.pdb 14.263
complex_70w.pdb 14.270
complex_184w.pdb 14.279
complex_160w.pdb 14.280
complex_26w.pdb 14.284
complex_38w.pdb 14.284
complex_139w.pdb 14.297
complex_63w.pdb 14.310
complex_117w.pdb 14.312
complex_124w.pdb 14.312
complex_29w.pdb 14.323
complex_91w.pdb 14.331
complex_22w.pdb 14.341
complex_65w.pdb 14.345
complex_162w.pdb 14.352
complex_116w.pdb 14.358
complex_121w.pdb 14.372
complex_140w.pdb 14.374
complex_173w.pdb 14.382
complex_52w.pdb 14.384
complex_191w.pdb 14.394
complex_126w.pdb 14.400
complex_68w.pdb 14.427
complex_27w.pdb 14.441
complex_156w.pdb 14.457
complex_2w.pdb 14.473
complex_119w.pdb 14.483
complex_85w.pdb 14.497
complex_76w.pdb 14.559
complex_56w.pdb 14.726
complex_131w.pdb 14.792
complex_32w.pdb 14.828
complex_88w.pdb 15.005
complex_155w.pdb 15.075
complex_105w.pdb 15.095
complex_146w.pdb 15.119
complex_94w.pdb 15.130
complex_151w.pdb 15.141
complex_18w.pdb 15.155
complex_19w.pdb 15.182
complex_53w.pdb 15.260
complex_72w.pdb 15.272
complex_182w.pdb 15.274
complex_110w.pdb 15.283
complex_69w.pdb 15.295
complex_41w.pdb 15.296
complex_77w.pdb 15.297
complex_48w.pdb 15.308
complex_7w.pdb 15.309
complex_163w.pdb 15.315
complex_190w.pdb 15.334
complex_154w.pdb 15.337
complex_114w.pdb 15.339
complex_10w.pdb 15.344
complex_96w.pdb 15.395
complex_133w.pdb 15.396
complex_50w.pdb 15.398
complex_58w.pdb 15.417
complex_104w.pdb 15.427
complex_172w.pdb 15.430
complex_82w.pdb 15.435
complex_198w.pdb 15.440
complex_67w.pdb 15.445
complex_135w.pdb 15.463
complex_90w.pdb 15.477
complex_123w.pdb 15.481
complex_193w.pdb 15.485
complex_181w.pdb 15.493
complex_112w.pdb 15.505
complex_197w.pdb 15.514
complex_66w.pdb 15.514
complex_175w.pdb 15.516
complex_30w.pdb 15.521
complex_169w.pdb 15.527
complex_177w.pdb 15.527
complex_178w.pdb 15.537
complex_101w.pdb 15.558
complex_120w.pdb 15.563
complex_42w.pdb 15.572
complex_147w.pdb 15.577
complex_186w.pdb 15.587
complex_109w.pdb 15.618
complex_8w.pdb 15.622
complex_153w.pdb 15.628
complex_164w.pdb 15.637
complex_40w.pdb 15.640
complex_20w.pdb 15.643
complex_166w.pdb 15.647
complex_149w.pdb 15.650
complex_185w.pdb 15.651
complex_93w.pdb 15.651
complex_161w.pdb 15.654
complex_106w.pdb 15.656
complex_46w.pdb 15.666
complex_180w.pdb 15.668
complex_188w.pdb 15.692
complex_137w.pdb 15.695
complex_195w.pdb 15.696
complex_167w.pdb 15.716
complex_142w.pdb 15.719
complex_98w.pdb 15.726
complex_87w.pdb 15.733
complex_159w.pdb 15.756
complex_134w.pdb 15.758
complex_103w.pdb 15.766
complex_174w.pdb 15.766
complex_84w.pdb 15.778
complex_49w.pdb 15.783
complex_78w.pdb 15.802
complex_129w.pdb 15.803
complex_176w.pdb 15.809
complex_125w.pdb 15.811
complex_136w.pdb 15.812
complex_57w.pdb 15.817
complex_128w.pdb 15.821
complex_199w.pdb 15.832
complex_183w.pdb 15.884
complex_14w.pdb 15.915
complex_165w.pdb 15.919
complex_16w.pdb 15.921
complex_115w.pdb 15.922
complex_44w.pdb 15.952
complex_64w.pdb 15.959
complex_55w.pdb 15.962
complex_102w.pdb 15.990
complex_189w.pdb 15.991
complex_152w.pdb 16.019
complex_122w.pdb 16.035
complex_138w.pdb 16.079
complex_111w.pdb 16.174
complex_145w.pdb 16.210
complex_12w.pdb 16.287
complex_79w.pdb 16.298
complex_171w.pdb 16.301
complex_51w.pdb 16.379
complex_61w.pdb 16.437
complex_24w.pdb 16.499
complex_39w.pdb 16.520
complex_15w.pdb 16.531
complex_99w.pdb 16.541
complex_192w.pdb 16.556
complex_95w.pdb 16.573
complex_118w.pdb 16.618
complex_3w.pdb 16.745
complex_158w.pdb 16.758
complex_81w.pdb 16.796
complex_71w.pdb 16.802
complex_150w.pdb 16.814
complex_179w.pdb 16.890
complex_127w.pdb 16.901
complex_23w.pdb 16.950
complex_141w.pdb 17.022
complex_144w.pdb 17.086
complex_31w.pdb 17.447
complex_36w.pdb 17.466
