#Ligand RMSD
complex_9w.pdb 11.405
complex_11w.pdb 11.671
complex_59w.pdb 14.687
complex_148w.pdb 15.649
complex_89w.pdb 15.652
complex_130w.pdb 15.662
complex_157w.pdb 15.685
complex_4w.pdb 15.785
complex_74w.pdb 15.977
complex_194w.pdb 16.108
complex_52w.pdb 16.161
complex_13w.pdb 16.426
complex_83w.pdb 16.456
complex_17w.pdb 16.583
complex_5w.pdb 16.611
complex_139w.pdb 16.655
complex_184w.pdb 16.704
complex_28w.pdb 17.210
complex_100w.pdb 17.419
complex_37w.pdb 17.582
complex_173w.pdb 17.662
complex_73w.pdb 17.794
complex_107w.pdb 17.890
complex_38w.pdb 18.038
complex_45w.pdb 18.096
complex_200w.pdb 18.439
complex_21w.pdb 18.545
complex_91w.pdb 18.600
complex_85w.pdb 18.703
complex_35w.pdb 18.885
complex_60w.pdb 19.217
complex_97w.pdb 19.280
complex_113w.pdb 19.358
complex_6w.pdb 19.369
complex_62w.pdb 19.385
complex_160w.pdb 19.398
complex_65w.pdb 19.458
complex_108w.pdb 19.467
complex_26w.pdb 19.489
complex_124w.pdb 19.495
complex_25w.pdb 19.642
complex_63w.pdb 19.644
complex_70w.pdb 19.791
complex_34w.pdb 19.827
complex_29w.pdb 19.833
complex_27w.pdb 19.907
complex_47w.pdb 19.952
complex_119w.pdb 19.976
complex_56w.pdb 20.077
complex_43w.pdb 20.150
complex_2w.pdb 20.373
complex_126w.pdb 20.510
complex_131w.pdb 20.690
complex_187w.pdb 20.936
complex_76w.pdb 21.193
complex_22w.pdb 21.322
complex_80w.pdb 21.477
complex_75w.pdb 21.527
complex_132w.pdb 21.843
complex_86w.pdb 21.898
complex_196w.pdb 22.149
complex_191w.pdb 22.157
complex_140w.pdb 22.266
complex_33w.pdb 22.361
complex_94w.pdb 22.490
complex_54w.pdb 22.542
complex_168w.pdb 22.593
complex_143w.pdb 22.672
complex_116w.pdb 22.704
complex_151w.pdb 22.933
complex_1w.pdb 23.090
complex_155w.pdb 23.100
complex_77w.pdb 23.158
complex_146w.pdb 23.254
complex_117w.pdb 23.260
complex_170w.pdb 23.336
complex_175w.pdb 23.371
complex_19w.pdb 23.411
complex_163w.pdb 23.493
complex_41w.pdb 23.518
complex_10w.pdb 23.521
complex_198w.pdb 23.577
complex_154w.pdb 23.637
complex_7w.pdb 23.769
complex_104w.pdb 23.930
complex_88w.pdb 23.969
complex_58w.pdb 24.090
complex_18w.pdb 24.176
complex_110w.pdb 24.201
complex_32w.pdb 24.238
complex_156w.pdb 24.255
complex_121w.pdb 24.264
complex_68w.pdb 24.291
complex_190w.pdb 24.406
complex_66w.pdb 24.451
complex_92w.pdb 24.451
complex_162w.pdb 24.462
complex_72w.pdb 24.688
complex_48w.pdb 24.711
complex_40w.pdb 24.735
complex_149w.pdb 24.762
complex_53w.pdb 24.777
complex_161w.pdb 24.878
complex_96w.pdb 24.979
complex_133w.pdb 25.052
complex_182w.pdb 25.091
complex_137w.pdb 25.113
complex_178w.pdb 25.164
complex_188w.pdb 25.186
complex_55w.pdb 25.233
complex_186w.pdb 25.264
complex_169w.pdb 25.365
complex_105w.pdb 25.432
complex_166w.pdb 25.454
complex_106w.pdb 25.582
complex_101w.pdb 25.586
complex_165w.pdb 25.700
complex_181w.pdb 25.814
complex_50w.pdb 25.854
complex_114w.pdb 25.888
complex_123w.pdb 25.949
complex_42w.pdb 26.262
complex_69w.pdb 26.341
complex_193w.pdb 26.390
complex_197w.pdb 26.433
complex_135w.pdb 26.448
complex_120w.pdb 26.471
complex_172w.pdb 26.514
complex_64w.pdb 26.520
complex_183w.pdb 26.535
complex_128w.pdb 26.624
complex_180w.pdb 26.637
complex_67w.pdb 26.649
complex_159w.pdb 26.715
complex_46w.pdb 26.719
complex_167w.pdb 26.795
complex_49w.pdb 26.885
complex_90w.pdb 26.973
complex_87w.pdb 27.013
complex_136w.pdb 27.020
complex_112w.pdb 27.021
complex_109w.pdb 27.075
complex_142w.pdb 27.182
complex_82w.pdb 27.193
complex_93w.pdb 27.215
complex_185w.pdb 27.221
complex_189w.pdb 27.229
complex_147w.pdb 27.237
complex_134w.pdb 27.277
complex_176w.pdb 27.314
complex_98w.pdb 27.330
complex_103w.pdb 27.341
complex_78w.pdb 27.359
complex_125w.pdb 27.361
complex_84w.pdb 27.364
complex_8w.pdb 27.403
complex_145w.pdb 27.409
complex_12w.pdb 27.560
complex_153w.pdb 27.572
complex_199w.pdb 27.611
complex_129w.pdb 27.682
complex_20w.pdb 27.799
complex_195w.pdb 27.821
complex_16w.pdb 27.936
complex_115w.pdb 27.987
complex_164w.pdb 28.027
complex_61w.pdb 28.125
complex_122w.pdb 28.243
complex_57w.pdb 28.290
complex_30w.pdb 28.351
complex_14w.pdb 28.362
complex_152w.pdb 28.496
complex_111w.pdb 28.564
complex_177w.pdb 28.567
complex_39w.pdb 28.726
complex_138w.pdb 28.809
complex_174w.pdb 28.850
complex_179w.pdb 28.964
complex_44w.pdb 29.304
complex_71w.pdb 29.608
complex_99w.pdb 29.751
complex_192w.pdb 29.803
complex_118w.pdb 30.412
complex_150w.pdb 30.639
complex_102w.pdb 30.707
complex_158w.pdb 30.751
complex_15w.pdb 30.780
complex_81w.pdb 31.002
complex_3w.pdb 31.023
complex_79w.pdb 31.592
complex_141w.pdb 31.975
complex_144w.pdb 31.981
complex_127w.pdb 32.177
complex_171w.pdb 32.216
complex_95w.pdb 32.431
complex_51w.pdb 32.861
complex_24w.pdb 33.059
complex_36w.pdb 33.857
complex_23w.pdb 34.387
complex_31w.pdb 35.820
