#Interface RMSD
complex_1w.pdb 8.118
complex_8w.pdb 7.912
complex_11w.pdb 8.249
complex_48w.pdb 9.730
complex_89w.pdb 9.456
complex_152w.pdb 9.276
complex_38w.pdb 8.516
complex_102w.pdb 8.731
complex_26w.pdb 8.596
complex_2w.pdb 8.046
complex_184w.pdb 9.540
complex_155w.pdb 9.295
complex_9w.pdb 8.066
complex_85w.pdb 8.633
complex_177w.pdb 9.337
complex_122w.pdb 9.255
complex_64w.pdb 9.681
complex_76w.pdb 8.583
complex_50w.pdb 8.881
complex_108w.pdb 9.545
complex_57w.pdb 9.731
complex_10w.pdb 8.209
complex_55w.pdb 9.175
complex_151w.pdb 9.285
complex_15w.pdb 8.581
complex_106w.pdb 9.513
complex_84w.pdb 9.212
complex_73w.pdb 8.756
complex_79w.pdb 8.144
complex_90w.pdb 9.724
complex_58w.pdb 8.233
complex_7w.pdb 8.326
complex_194w.pdb 8.588
complex_192w.pdb 9.434
complex_63w.pdb 8.529
complex_67w.pdb 8.730
complex_86w.pdb 8.614
complex_14w.pdb 9.473
complex_98w.pdb 8.520
complex_24w.pdb 8.611
complex_120w.pdb 9.312
complex_69w.pdb 8.742
complex_117w.pdb 9.378
complex_163w.pdb 8.923
complex_72w.pdb 8.422
complex_123w.pdb 9.204
complex_159w.pdb 9.352
complex_174w.pdb 9.566
complex_124w.pdb 8.532
complex_200w.pdb 8.715
complex_107w.pdb 8.447
complex_105w.pdb 9.727
complex_103w.pdb 8.686
complex_78w.pdb 8.598
complex_162w.pdb 8.129
complex_6w.pdb 7.963
complex_49w.pdb 8.614
complex_65w.pdb 9.562
complex_28w.pdb 8.552
complex_29w.pdb 8.505
complex_126w.pdb 8.396
complex_45w.pdb 8.412
complex_47w.pdb 8.374
complex_60w.pdb 9.361
complex_87w.pdb 8.661
complex_27w.pdb 8.275
complex_193w.pdb 8.984
complex_198w.pdb 8.951
complex_35w.pdb 8.655
complex_3w.pdb 8.009
complex_95w.pdb 8.539
complex_165w.pdb 8.950
complex_66w.pdb 9.438
complex_191w.pdb 9.072
complex_175w.pdb 9.461
complex_12w.pdb 8.163
complex_5w.pdb 8.081
complex_195w.pdb 9.156
complex_33w.pdb 8.900
complex_166w.pdb 8.357
complex_61w.pdb 8.346
complex_93w.pdb 9.396
complex_141w.pdb 9.332
complex_115w.pdb 8.788
complex_129w.pdb 8.338
complex_91w.pdb 9.154
complex_139w.pdb 9.741
complex_131w.pdb 8.437
complex_36w.pdb 8.922
complex_197w.pdb 9.881
complex_82w.pdb 8.364
complex_140w.pdb 8.192
complex_101w.pdb 8.688
complex_96w.pdb 9.159
complex_135w.pdb 9.224
complex_161w.pdb 8.898
complex_20w.pdb 8.137
complex_39w.pdb 8.661
complex_196w.pdb 8.970
complex_25w.pdb 8.546
complex_167w.pdb 8.655
complex_114w.pdb 8.443
complex_16w.pdb 8.389
