#Ligand RMSD
complex_1w.pdb 9.777
complex_8w.pdb 11.820
complex_11w.pdb 10.905
complex_48w.pdb 27.268
complex_89w.pdb 19.031
complex_152w.pdb 25.771
complex_38w.pdb 13.494
complex_102w.pdb 22.201
complex_26w.pdb 25.628
complex_2w.pdb 12.152
complex_184w.pdb 24.863
complex_155w.pdb 28.445
complex_9w.pdb 11.540
complex_85w.pdb 20.405
complex_177w.pdb 19.129
complex_122w.pdb 26.612
complex_64w.pdb 22.560
complex_76w.pdb 14.580
complex_50w.pdb 26.029
complex_108w.pdb 21.611
complex_57w.pdb 24.561
complex_10w.pdb 10.730
complex_55w.pdb 18.072
complex_151w.pdb 25.210
complex_15w.pdb 14.907
complex_106w.pdb 18.930
complex_84w.pdb 28.648
complex_73w.pdb 17.694
complex_79w.pdb 22.431
complex_90w.pdb 26.702
complex_58w.pdb 13.662
complex_7w.pdb 17.235
complex_194w.pdb 16.087
complex_192w.pdb 28.695
complex_63w.pdb 14.206
complex_67w.pdb 26.047
complex_86w.pdb 15.811
complex_14w.pdb 19.747
complex_98w.pdb 13.486
complex_24w.pdb 14.121
complex_120w.pdb 23.836
complex_69w.pdb 17.096
complex_117w.pdb 22.995
complex_163w.pdb 17.882
complex_72w.pdb 13.900
complex_123w.pdb 18.122
complex_159w.pdb 19.511
complex_174w.pdb 25.555
complex_124w.pdb 13.786
complex_200w.pdb 16.142
complex_107w.pdb 14.032
complex_105w.pdb 26.017
complex_103w.pdb 23.228
complex_78w.pdb 18.631
complex_162w.pdb 19.854
complex_6w.pdb 11.082
complex_49w.pdb 14.893
complex_65w.pdb 18.379
complex_28w.pdb 13.927
complex_29w.pdb 13.385
complex_126w.pdb 15.459
complex_45w.pdb 13.337
complex_47w.pdb 13.588
complex_60w.pdb 21.614
complex_87w.pdb 15.340
complex_27w.pdb 15.632
complex_193w.pdb 17.761
complex_198w.pdb 16.224
complex_35w.pdb 15.426
complex_3w.pdb 19.093
complex_95w.pdb 14.739
complex_165w.pdb 16.808
complex_66w.pdb 25.722
complex_191w.pdb 18.615
complex_175w.pdb 19.362
complex_12w.pdb 17.509
complex_5w.pdb 12.282
complex_195w.pdb 18.673
complex_33w.pdb 16.198
complex_166w.pdb 13.401
complex_61w.pdb 13.296
complex_93w.pdb 25.998
complex_141w.pdb 27.248
complex_115w.pdb 16.684
complex_129w.pdb 14.066
complex_91w.pdb 21.300
complex_139w.pdb 25.137
complex_131w.pdb 13.281
complex_36w.pdb 19.951
complex_197w.pdb 24.172
complex_82w.pdb 25.332
complex_140w.pdb 18.120
complex_101w.pdb 28.643
complex_96w.pdb 18.473
complex_135w.pdb 21.223
complex_161w.pdb 17.547
complex_20w.pdb 21.628
complex_39w.pdb 14.611
complex_196w.pdb 16.477
complex_25w.pdb 15.941
complex_167w.pdb 15.829
complex_114w.pdb 14.805
complex_16w.pdb 13.447
complex_54w.pdb 14.345
complex_97w.pdb 17.981
complex_164w.pdb 19.147
complex_199w.pdb 15.294
complex_133w.pdb 13.875
complex_125w.pdb 20.676
complex_110w.pdb 15.497
complex_160w.pdb 15.487
complex_17w.pdb 20.584
complex_176w.pdb 21.425
complex_4w.pdb 14.160
complex_18w.pdb 13.092
complex_46w.pdb 24.351
complex_62w.pdb 26.320
complex_138w.pdb 22.887
complex_81w.pdb 11.243
complex_185w.pdb 25.151
complex_144w.pdb 14.369
complex_190w.pdb 17.467
complex_157w.pdb 17.550
complex_179w.pdb 18.586
complex_153w.pdb 13.407
complex_180w.pdb 15.611
complex_136w.pdb 13.321
complex_83w.pdb 13.614
complex_94w.pdb 22.767
complex_137w.pdb 12.001
complex_145w.pdb 13.220
complex_30w.pdb 11.898
complex_75w.pdb 14.306
complex_171w.pdb 28.990
complex_100w.pdb 11.108
complex_77w.pdb 16.553
complex_53w.pdb 20.757
complex_31w.pdb 15.333
complex_32w.pdb 18.593
complex_169w.pdb 19.283
complex_23w.pdb 20.641
complex_142w.pdb 20.830
complex_170w.pdb 16.089
complex_127w.pdb 13.047
complex_99w.pdb 13.172
complex_181w.pdb 13.843
complex_150w.pdb 26.102
complex_154w.pdb 25.734
complex_19w.pdb 14.597
complex_121w.pdb 19.790
complex_188w.pdb 16.045
complex_13w.pdb 15.138
complex_109w.pdb 18.012
complex_172w.pdb 16.234
complex_178w.pdb 15.827
complex_119w.pdb 26.440
complex_59w.pdb 25.387
complex_43w.pdb 32.378
complex_42w.pdb 16.980
complex_189w.pdb 18.966
complex_158w.pdb 29.920
complex_148w.pdb 11.054
complex_156w.pdb 14.627
complex_56w.pdb 15.033
complex_44w.pdb 13.483
complex_183w.pdb 13.755
complex_92w.pdb 21.428
complex_52w.pdb 19.994
complex_68w.pdb 18.703
complex_40w.pdb 15.311
complex_88w.pdb 15.111
complex_143w.pdb 13.282
complex_146w.pdb 14.295
complex_112w.pdb 25.512
complex_22w.pdb 15.978
complex_147w.pdb 13.261
complex_168w.pdb 16.170
complex_51w.pdb 16.800
complex_74w.pdb 16.175
complex_187w.pdb 13.159
