#Interface RMSD
complex_164w.pdb 6.748
complex_119w.pdb 6.766
complex_151w.pdb 6.775
complex_153w.pdb 6.799
complex_60w.pdb 6.838
complex_103w.pdb 6.841
complex_200w.pdb 6.855
complex_116w.pdb 6.861
complex_146w.pdb 6.862
complex_92w.pdb 6.883
complex_98w.pdb 6.888
complex_186w.pdb 6.889
complex_88w.pdb 6.902
complex_51w.pdb 6.903
complex_142w.pdb 6.907
complex_173w.pdb 6.910
complex_163w.pdb 6.919
complex_172w.pdb 6.919
complex_120w.pdb 6.920
complex_179w.pdb 6.929
complex_107w.pdb 6.932
complex_157w.pdb 6.941
complex_155w.pdb 6.951
complex_111w.pdb 6.957
complex_128w.pdb 6.962
complex_189w.pdb 6.962
complex_93w.pdb 6.969
complex_71w.pdb 6.973
complex_117w.pdb 6.993
complex_15w.pdb 6.993
complex_109w.pdb 6.997
complex_130w.pdb 6.999
complex_83w.pdb 6.999
complex_16w.pdb 7.000
complex_22w.pdb 7.004
complex_105w.pdb 7.006
complex_133w.pdb 7.006
complex_197w.pdb 7.010
complex_54w.pdb 7.012
complex_139w.pdb 7.016
complex_178w.pdb 7.021
complex_77w.pdb 7.021
complex_89w.pdb 7.021
complex_158w.pdb 7.026
complex_97w.pdb 7.026
complex_115w.pdb 7.029
complex_156w.pdb 7.051
complex_171w.pdb 7.057
complex_154w.pdb 7.060
complex_176w.pdb 7.061
complex_135w.pdb 7.063
complex_143w.pdb 7.066
complex_162w.pdb 7.069
complex_70w.pdb 7.070
complex_112w.pdb 7.071
complex_183w.pdb 7.074
complex_136w.pdb 7.079
complex_131w.pdb 7.080
complex_138w.pdb 7.084
complex_152w.pdb 7.090
complex_33w.pdb 7.093
complex_160w.pdb 7.111
complex_166w.pdb 7.116
complex_137w.pdb 7.126
complex_184w.pdb 7.128
complex_24w.pdb 7.129
complex_195w.pdb 7.134
complex_169w.pdb 7.146
complex_118w.pdb 7.147
complex_124w.pdb 7.150
complex_167w.pdb 7.150
complex_72w.pdb 7.160
complex_55w.pdb 7.165
complex_79w.pdb 7.179
complex_21w.pdb 7.181
complex_44w.pdb 7.196
complex_129w.pdb 7.199
complex_134w.pdb 7.216
complex_150w.pdb 7.216
complex_56w.pdb 7.218
complex_182w.pdb 7.219
complex_193w.pdb 7.219
complex_106w.pdb 7.226
complex_132w.pdb 7.228
complex_175w.pdb 7.232
complex_43w.pdb 7.235
complex_190w.pdb 7.236
complex_188w.pdb 7.243
complex_99w.pdb 7.243
complex_126w.pdb 7.244
complex_198w.pdb 7.249
complex_145w.pdb 7.253
complex_61w.pdb 7.253
complex_25w.pdb 7.256
complex_47w.pdb 7.259
complex_73w.pdb 7.263
complex_123w.pdb 7.265
complex_96w.pdb 7.272
complex_141w.pdb 7.276
complex_94w.pdb 7.277
complex_108w.pdb 7.287
complex_3w.pdb 7.292
complex_127w.pdb 7.299
complex_13w.pdb 7.299
complex_114w.pdb 7.303
complex_185w.pdb 7.307
complex_174w.pdb 7.317
complex_28w.pdb 7.332
complex_87w.pdb 7.338
complex_161w.pdb 7.339
complex_6w.pdb 7.340
complex_76w.pdb 7.351
complex_91w.pdb 7.352
complex_159w.pdb 7.355
complex_187w.pdb 7.357
complex_140w.pdb 7.361
complex_100w.pdb 7.377
complex_45w.pdb 7.377
complex_165w.pdb 7.379
complex_192w.pdb 7.381
complex_14w.pdb 7.386
complex_74w.pdb 7.391
complex_52w.pdb 7.398
complex_8w.pdb 7.400
complex_113w.pdb 7.401
complex_75w.pdb 7.404
complex_121w.pdb 7.411
complex_41w.pdb 7.412
complex_110w.pdb 7.418
complex_168w.pdb 7.419
complex_170w.pdb 7.422
complex_19w.pdb 7.427
complex_102w.pdb 7.436
complex_148w.pdb 7.438
complex_84w.pdb 7.440
complex_42w.pdb 7.447
complex_95w.pdb 7.468
complex_78w.pdb 7.469
complex_38w.pdb 7.481
complex_199w.pdb 7.510
complex_50w.pdb 7.520
complex_34w.pdb 7.523
complex_181w.pdb 7.538
complex_177w.pdb 7.552
complex_20w.pdb 7.577
complex_191w.pdb 7.584
complex_35w.pdb 7.607
complex_104w.pdb 7.628
complex_11w.pdb 7.631
complex_86w.pdb 7.634
complex_49w.pdb 7.668
complex_10w.pdb 7.671
complex_81w.pdb 7.674
complex_18w.pdb 7.675
complex_149w.pdb 7.676
complex_39w.pdb 7.677
complex_7w.pdb 7.698
complex_37w.pdb 7.710
complex_53w.pdb 7.729
complex_122w.pdb 7.751
complex_196w.pdb 7.768
complex_30w.pdb 7.771
complex_68w.pdb 7.780
complex_12w.pdb 7.786
complex_67w.pdb 7.803
complex_85w.pdb 7.811
complex_147w.pdb 7.814
complex_125w.pdb 7.820
complex_63w.pdb 7.850
complex_46w.pdb 7.854
complex_64w.pdb 7.854
complex_180w.pdb 7.855
complex_4w.pdb 7.856
complex_65w.pdb 7.862
complex_80w.pdb 7.867
complex_26w.pdb 7.873
complex_32w.pdb 7.885
complex_101w.pdb 7.939
complex_59w.pdb 7.970
complex_9w.pdb 8.040
complex_29w.pdb 8.077
complex_31w.pdb 8.124
complex_27w.pdb 8.132
complex_69w.pdb 8.152
complex_66w.pdb 8.153
complex_48w.pdb 8.160
complex_1w.pdb 8.245
complex_144w.pdb 8.291
complex_40w.pdb 8.317
complex_62w.pdb 57.937
complex_194w.pdb 63.173
complex_36w.pdb 65.497
complex_2w.pdb 66.717
complex_5w.pdb 75.294
complex_23w.pdb 83.212
complex_57w.pdb 85.678
complex_17w.pdb 87.925
complex_58w.pdb 95.454
complex_90w.pdb 97.992
complex_82w.pdb 103.733
