#Ligand RMSD
complex_154w.pdb 5.295
complex_150w.pdb 6.177
complex_149w.pdb 6.865
complex_145w.pdb 7.396
complex_174w.pdb 7.797
complex_195w.pdb 7.899
complex_47w.pdb 8.074
complex_14w.pdb 8.097
complex_74w.pdb 8.141
complex_61w.pdb 8.182
complex_21w.pdb 8.293
complex_19w.pdb 8.407
complex_198w.pdb 8.490
complex_100w.pdb 8.493
complex_199w.pdb 8.587
complex_200w.pdb 8.738
complex_87w.pdb 8.744
complex_35w.pdb 8.823
complex_156w.pdb 8.913
complex_37w.pdb 8.928
complex_70w.pdb 9.084
complex_186w.pdb 9.102
complex_95w.pdb 9.152
complex_118w.pdb 9.224
complex_28w.pdb 9.366
complex_134w.pdb 9.367
complex_191w.pdb 9.373
complex_193w.pdb 9.463
complex_126w.pdb 9.491
complex_3w.pdb 9.511
complex_188w.pdb 9.538
complex_151w.pdb 9.591
complex_159w.pdb 10.206
complex_114w.pdb 10.211
complex_165w.pdb 10.255
complex_41w.pdb 10.516
complex_94w.pdb 10.843
complex_184w.pdb 10.938
complex_91w.pdb 11.254
complex_178w.pdb 11.671
complex_152w.pdb 11.956
complex_157w.pdb 12.119
complex_142w.pdb 12.206
complex_50w.pdb 12.579
complex_161w.pdb 12.648
complex_26w.pdb 14.346
complex_153w.pdb 14.599
complex_185w.pdb 16.201
complex_130w.pdb 16.264
complex_65w.pdb 16.340
complex_10w.pdb 16.427
complex_12w.pdb 16.493
complex_181w.pdb 17.000
complex_197w.pdb 17.226
complex_59w.pdb 17.267
complex_171w.pdb 17.382
complex_32w.pdb 17.752
complex_147w.pdb 17.961
complex_122w.pdb 18.327
complex_48w.pdb 18.690
complex_71w.pdb 18.721
complex_15w.pdb 18.809
complex_170w.pdb 18.901
complex_40w.pdb 18.961
complex_75w.pdb 18.980
complex_43w.pdb 19.000
complex_24w.pdb 19.135
complex_22w.pdb 19.204
complex_9w.pdb 19.323
complex_115w.pdb 19.356
complex_76w.pdb 19.688
complex_69w.pdb 19.749
complex_84w.pdb 19.755
complex_97w.pdb 19.951
complex_173w.pdb 20.022
complex_163w.pdb 20.119
complex_155w.pdb 20.159
complex_196w.pdb 20.559
complex_135w.pdb 20.893
complex_117w.pdb 21.133
complex_175w.pdb 21.146
complex_177w.pdb 21.326
complex_119w.pdb 21.341
complex_56w.pdb 21.372
complex_131w.pdb 21.553
complex_44w.pdb 21.716
complex_4w.pdb 21.759
complex_125w.pdb 21.778
complex_53w.pdb 21.803
complex_116w.pdb 21.808
complex_105w.pdb 21.951
complex_176w.pdb 22.037
complex_72w.pdb 22.446
complex_141w.pdb 22.516
complex_179w.pdb 22.609
complex_120w.pdb 23.017
complex_60w.pdb 23.041
complex_103w.pdb 23.216
complex_81w.pdb 23.244
complex_138w.pdb 23.287
complex_30w.pdb 23.384
complex_93w.pdb 23.385
complex_8w.pdb 23.497
complex_123w.pdb 23.743
complex_83w.pdb 23.766
