Energy_Type,Run_Name,Count,Mean,Std,Min,Max,Median
Electrostatic Energy,Terminal Fold2,200,-263.195284,118.23011758614857,-535.619,-35.9372,-248.963
Electrostatic Energy,Original Boltz2,191,-266.80957015706804,104.7692682838622,-489.823,0.0,-277.065
Electrostatic Energy,4Base Mismatch Boltz2,200,-172.21913800000002,89.92588661617455,-531.872,-18.804,-157.7835
Electrostatic Energy,Scrambled Boltz2,200,-216.8037925,77.22338621004862,-434.468,-32.6391,-222.0725
Van der Waals Energy,Terminal Fold2,200,-12.205552780000003,5.4951109870363455,-23.1296,5.00812,-13.013349999999999
Van der Waals Energy,Original Boltz2,191,-11.929183617801046,5.324821153920345,-24.4798,10.0921,-12.7513
Van der Waals Energy,4Base Mismatch Boltz2,200,-12.465404785,5.475943214519847,-23.0724,5.50654,-13.6175
Van der Waals Energy,Scrambled Boltz2,200,-11.11032579,4.315363365154839,-23.2561,3.80391,-11.1555
Desolvation Energy,Terminal Fold2,200,4.34445085,0.9687900393031726,1.53716,6.51475,4.4645600000000005
Desolvation Energy,Original Boltz2,191,4.772012994764398,1.3582133585227651,-0.382113,7.52207,4.87002
Desolvation Energy,4Base Mismatch Boltz2,200,3.92221545,0.8823605926189314,1.76889,6.40197,3.961905
Desolvation Energy,Scrambled Boltz2,200,4.5426813500000005,1.1726065718048304,1.0147,7.03649,4.50021
Total Energy (Sum of All 3),Terminal Fold2,200,-271.05638593,116.18635557325776,-542.73661,-43.16278,-255.60081
Total Energy (Sum of All 3),Original Boltz2,191,-273.9667407801047,103.00650924131233,-480.52104999999995,0.585645,-283.09614
Total Energy (Sum of All 3),4Base Mismatch Boltz2,200,-180.762327335,86.93004443248657,-523.1231799999999,-25.74186,-168.00099500000002
Total Energy (Sum of All 3),Scrambled Boltz2,200,-223.37143694,75.94179095314625,-435.81956,-36.33054,-228.00304
