Energy_Type,Run_1,Run_2,P_Value,Significant,Mean_1,Mean_2,Mean_Difference
Total Energy (Sum of All 3),Original Boltz2,4Base Mismatch Boltz2,5.137688131976525e-20,Yes,-273.9667407801047,-180.762327335,93.2044134451047
Electrostatic Energy,Original Boltz2,4Base Mismatch Boltz2,1.0557458865332409e-19,Yes,-266.80957015706804,-172.21913800000002,94.59043215706802
Total Energy (Sum of All 3),Terminal Fold2,4Base Mismatch Boltz2,4.215968206739734e-17,Yes,-271.05638593,-180.762327335,90.29405859499997
Electrostatic Energy,Terminal Fold2,4Base Mismatch Boltz2,1.1792109885397483e-16,Yes,-263.195284,-172.21913800000002,90.976146
Desolvation Energy,Original Boltz2,4Base Mismatch Boltz2,1.0409893689223412e-12,Yes,4.772012994764398,3.92221545,0.8497975447643982
Desolvation Energy,4Base Mismatch Boltz2,Scrambled Boltz2,4.987731363297483e-09,Yes,3.92221545,4.5426813500000005,0.6204659000000006
Total Energy (Sum of All 3),Original Boltz2,Scrambled Boltz2,5.423935948876858e-08,Yes,-273.9667407801047,-223.37143694,50.59530384010472
Electrostatic Energy,Original Boltz2,Scrambled Boltz2,1.2300706796839272e-07,Yes,-266.80957015706804,-216.8037925,50.00577765706805
Electrostatic Energy,4Base Mismatch Boltz2,Scrambled Boltz2,1.7411823454132274e-07,Yes,-172.21913800000002,-216.8037925,44.58465449999997
Total Energy (Sum of All 3),4Base Mismatch Boltz2,Scrambled Boltz2,2.882705053143584e-07,Yes,-180.762327335,-223.37143694,42.609109604999986
Total Energy (Sum of All 3),Terminal Fold2,Scrambled Boltz2,1.7045536246620355e-06,Yes,-271.05638593,-223.37143694,47.68494898999998
Electrostatic Energy,Terminal Fold2,Scrambled Boltz2,4.608982748114212e-06,Yes,-263.195284,-216.8037925,46.39149150000003
Desolvation Energy,Terminal Fold2,4Base Mismatch Boltz2,6.915363007294645e-06,Yes,4.34445085,3.92221545,0.42223540000000037
Desolvation Energy,Terminal Fold2,Original Boltz2,0.0003647507173600866,Yes,4.34445085,4.772012994764398,0.4275621447643978
Van der Waals Energy,4Base Mismatch Boltz2,Scrambled Boltz2,0.006255986473480506,Yes,-12.465404785,-11.11032579,1.3550789950000013
Van der Waals Energy,Terminal Fold2,Scrambled Boltz2,0.027201368914132284,Yes,-12.205552780000003,-11.11032579,1.095226990000004
